kim,rank,rec_vl,rec_altair,q1,q2,n,task
-0.6010000000000001,6.868,0.19499999999999984,0.33199999999999963,size,x,y,summary
-0.09099999999999997,5.308,-0.771,-0.6289999999999999,color,x,y,summary
0.05500000000000005,0.29300000000000037,-1.839,-1.896,color,y,x,summary
-1.292,1.6989999999999998,-2.6470000000000002,-2.648,x,color,y,summary
-0.16299999999999987,0.07699999999999996,-2.8160000000000003,-2.6,x,y,color,summary
-0.49599999999999994,-3.2010000000000005,-1.277,-1.443,x,y,row,summary
-0.8959999999999999,-1.0759999999999996,-1.797,-1.9569999999999999,y,size,x,summary
-0.27799999999999986,2.53,-1.884,-1.777,y,x,color,summary
-0.45499999999999996,1.8530000000000002,-0.873,-0.9349999999999999,size,y,x,summary
-0.927,1.4859999999999998,-1.661,-1.513,x,size,y,summary
1.076,4.184,0.6970000000000001,0.7129999999999996,size,y,x,value
1.1149999999999998,5.0569999999999995,-0.8089999999999999,-0.9089999999999999,color,x,y,value
-1.304,0.881,-2.7790000000000004,-2.8080000000000003,x,color,y,value
-0.9390000000000001,0.6679999999999999,-1.7930000000000001,-1.673,x,size,y,value
-1.866,-1.3969999999999998,-3.6590000000000003,-3.324,x,y,color,value
-1.1019999999999999,-2.865000000000001,-1.8110000000000002,-1.8359999999999999,x,y,row,value
-1.647,1.457,-1.2439999999999998,-1.343,y,color,x,value
-1.282,1.244,-0.258,-0.20799999999999996,y,size,x,value
-2.385,1.5590000000000002,-2.681,-2.393,y,x,color,value
-1.6209999999999996,0.09099999999999997,-0.833,-0.905,y,x,row,value
1.291,2.677,-0.2519999999999998,-0.375,color,y,x,value
0.8999999999999999,6.564,0.14000000000000012,0.17899999999999983,size,x,y,value
-1.261,-0.8629999999999997,-2.783,-3.092,y,color,x,summary
-0.611,-0.7480000000000001,-0.345,-0.6200000000000001,y,x,row,summary
-0.06300000000000006,6.0360000000000005,-0.808,-0.5799999999999998,color,x,y,summary
0.08300000000000007,1.0210000000000004,-1.8760000000000001,-1.847,color,y,x,summary
-1.8160000000000003,7.007000000000001,0.18399999999999994,0.35799999999999965,size,x,y,summary
-1.67,1.992,-0.8839999999999999,-0.909,size,y,x,summary
1.1429999999999996,5.785,-0.846,-0.8599999999999999,color,x,y,value
-0.1389999999999999,4.323,0.6859999999999999,0.7389999999999997,size,y,x,value
-0.31499999999999995,6.703,0.12900000000000023,0.20499999999999985,size,x,y,value
1.3189999999999997,3.4050000000000002,-0.2889999999999999,-0.32600000000000007,color,y,x,value
-0.476,1.771,-0.751,-0.7979999999999999,size,y,x,summary
-0.9480000000000002,1.404,-1.539,-1.376,x,size,y,summary
-0.917,-1.1579999999999995,-1.6749999999999998,-1.8199999999999998,y,size,x,summary
-0.6220000000000001,6.7860000000000005,0.3169999999999997,0.46899999999999964,size,x,y,summary
1.0550000000000002,4.102,0.819,0.8499999999999996,size,y,x,value
-0.96,0.5859999999999999,-1.671,-1.536,x,size,y,value
-1.3030000000000002,1.162,-0.13600000000000012,-0.07099999999999995,y,size,x,value
0.879,6.482,0.262,0.31599999999999984,size,x,y,value
-1.8370000000000002,6.925000000000001,0.30600000000000005,0.49499999999999966,size,x,y,summary
-1.6909999999999998,1.9100000000000001,-0.7619999999999999,-0.772,size,y,x,summary
-0.15999999999999992,4.2410000000000005,0.8079999999999998,0.8759999999999994,size,y,x,value
-0.33599999999999997,6.621,0.25100000000000033,0.34199999999999986,size,x,y,value
0.428,0.22999999999999998,-2.4530000000000003,-2.409,x,y,color,summary
0.313,2.683,-1.521,-1.5859999999999999,y,x,color,summary
-1.2750000000000001,-1.2439999999999998,-3.2960000000000003,-3.1329999999999996,x,y,color,value
-1.7939999999999998,1.712,-2.318,-2.202,y,x,color,value
